"file_name","core_name","rdata_file_name","CLASSIFICATION","YEAR","Key","Type","Value"
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","Max.",2917.73
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","Mean",45.75
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","Median",25.19
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","Min.",0.25
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","Duration","NA's",805
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","GENDER","F",40855
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","GENDER","M",36575
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","NPI_n","Count",152
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","RACE","Black",3649
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","RACE","Not Provided",13775
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","RACE","Other",2212
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","RACE","White",57794
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","row_n","Count",202762
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","zip_add_combination_n","Count",2634
"2. NPI/2.5 NPI_clinic_20.csv","clinic_20","3. df_geo/3.5 df_geo_clinic_20.RData","Clinic/Center","2020","ZIP_n","Count",728
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","address_n","Count",159
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","00 - 04",17803
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","05 - 09",10122
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","10 - 14",8969
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","15 - 19",6458
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","20 - 24",2381
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","25 - 29",2021
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","30 - 34",3280
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","35 - 39",3730
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","40 - 44",4735
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","45 - 49",4603
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","50 - 54",6079
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","55 - 59",7760
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","AGE_RANGE_DFS","60 - 64",6726
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","BEN_ID_n","Count",27238
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","CLAIM_GUID_n","Count",84649
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","1st Qu.",10.78
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","3rd Qu.",49.78
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","Max.",4391.04
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","Mean",57.97
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","Median",25.79
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","Min.",0.08
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Distance","NA's",872
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","1st Qu.",14.22
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","3rd Qu.",47.01
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","Max.",2917.73
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","Mean",48.58
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","Median",26.98
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","Min.",0.25
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","Duration","NA's",872
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","GENDER","F",43860
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","GENDER","M",40807
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","NPI_n","Count",163
